姓名,擅长,预约量
王齐兵,擅长：                                冠心病介入诊断及治疗；心肌疾病；心脏重症监护,3338预约量
卜丽萍,擅长：                                高血压、高血脂、冠心病、心律失常,4201预约量
李清,擅长：                                心血管疾病的诊治,5550预约量
钱菊英,擅长：                                冠心病的介入治疗，心血管疾病诊断和治疗,6971预约量
陆浩,擅长：                                冠心病的药物及介入治疗。,579预约量
张英梅,擅长：                                冠心病的诊断治疗。,289预约量
葛均波,擅长：                                心血管疾病的诊治,10预约量
王箴,擅长：                                高血脂症、高血压、心力衰竭、冠心病等心内科疾病的诊治,317预约量
张书宁,擅长：                                冠心病药物及介入治疗,725预约量
刘学波,擅长：                                冠心病的诊断和介入治疗，精通血管内超声（IVUS）、光学相干断层扫描（OCT）和冠状动脉血流分数储备（FFR）等先进的冠心病诊断方法，并在国内和国际具有一定声誉。在左主干、分...,473预约量
舒先红,擅长：                                擅长高血压、冠心病、心律失常、心力衰竭的诊治；心脏超声诊断,8308预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
王齐兵,擅长：                                冠心病介入诊断及治疗；心肌疾病；心脏重症监护,3338预约量
钱菊英,擅长：                                冠心病的介入治疗，心血管疾病诊断和治疗,6971预约量
葛均波,擅长：                                心血管疾病的诊治,10预约量
舒先红,擅长：                                擅长高血压、冠心病、心律失常、心力衰竭的诊治；心脏超声诊断,8308预约量
