姓名,擅长,预约量
王伟铭,擅长：                                原、继发性肾脏疾病、肾血管病、急慢性肾衰,2976预约量
张文,擅长：                                擅长急慢性肾衰竭，原发性和继发性肾脏病，肾性、高血压肾损害、糖尿病肾损害、血管炎的诊治。,1236预约量
郝翠兰,擅长：                                肾小球肾炎，肾功能不全，肾盂肾炎,1404预约量
吴珮,擅长：                                原、继发性肾脏病，急慢性肾衰的诊治,2256预约量
钱莹,"擅长：                                ""急慢性肾衰 女性尿路感染 各肾病有关的骨痛""",2378预约量
俞海瑾,擅长：                                各种原发性和继发性肾小球疾病（血管炎、系统性红斑狼疮）、急性肾衰、慢性肾脏病的诊断和治疗,2468预约量
徐耀文,擅长：                                原发、继发性肾脏疾病、泌尿道感染、结石,1395预约量
沈平雁,擅长：                                各类肾脏病变，急慢性肾衰，血透，尿路感染,1222预约量
史浩,擅长：                                原发、继发性肾小球肾病，肾功能衰竭泌尿系统感染,1219预约量
潘晓霞,擅长：                                原、继发性肾脏疾病，泌尿感染、急慢性肾衰,2062预约量
王朝晖,擅长：                                原发性、继发性及遗传性肾脏疾病,757预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
糜坚青,擅长：                                血液科常见病的诊治。,403预约量
胡炯,擅长：                                白血病靶向治疗、大剂量化疗及移植治疗恶性白血病、造血干细胞移植治疗I型糖尿病,941预约量
李军民,擅长：                                血液恶性肿瘤及血小板减少性紫癜,767预约量
赵维莅,擅长：                                恶性淋巴瘤、造血干细胞移植,1365预约量
王学锋,擅长：                                血液科常见病的诊治。,500预约量
周励,擅长：                                主要诊治血液系统疾病如各类贫血，以及各种白细胞异常或者血小板异常，擅长血液肿瘤性疾病如白血病，慢性骨髓增生性疾病、淋巴瘤、骨髓瘤，骨髓增生异常综合征等的治疗。尤其慢性粒细胞白...,1357预约量
陈秋生,擅长：                                血液恶性肿瘤、贫血和出凝血疾病,3629预约量
