,不限,专用车品牌,卡车品牌,封闭货车品牌,工程车品牌,微型车品牌,挂车品牌,电动卡车品牌,皮卡品牌,配件品牌
0,奔驰,安徽大田(秋浦牌),奔驰,比亚迪,安徽星马(星马牌),北京牌,冰凌方,奔驰,北京牌,安凯桥
1,北奔重卡,奔驰,北奔重卡,北汽威旺,北奔重卡,北汽威旺,大运挂车,比亚迪,长安轻型车,艾里逊
2,北汽黑豹,北奔重卡,北汽黑豹,长安跨越,北方重工,北汽幻速,宏昌天马,北汽新能源,长城汽车,安徽康明斯
3,比亚迪,北汽黑豹,比亚迪,长安轻型车,别拉斯,长安跨越,锣响挂车,北汽威旺,长丰汽车,安途生
4,北京牌,比亚迪,北京牌,东风股份,北方交通,长安轻型车,烈牛半挂车,宝骐汽车,成功汽车,埃贝赫
5,北汽新能源,冰凌方,BMC,东风商用车,贝尔,昌河汽车,梁山长虹,博雷顿,东风股份,安徽巨一
6,BMC,北京北铃(北铃牌),北汽威旺,东风华神,长春双龙(龙帝牌),成功汽车,梁山盛源,北斗航天,东风,安中
7,北汽威旺,北京天路(天路牌),长安跨越,东风小康,东风商用车,东风股份,梁山中泽,长安跨越,大众,埃尔曼
8,宝骐汽车,北京科力（科力牌）,长安轻型车,东风超龙,东风柳汽,东风小康,梁山新宇,长安轻型车,道奇,奔驰
9,博雷顿,长安跨越,昌河汽车,东风客车,东风华神,东南汽车,欧阳聚德,昌河汽车,福田皮卡,北奔重卡
10,北斗航天,长安轻型车,川交汽车,东南汽车,大运重卡,福田商务车,深圳中集(深扬帆),长江汽车,福特汽车,博格思众
11,北汽幻速,昌河汽车,长征汽车,福田商务车,东风新疆(原专底/创普),福田伽途,山东骏通,成都雅骏,丰田汽车,BPW(梅州)桥
12,长安跨越,常州中汽(常奇牌),长安重汽,福田伽途,达夫/DAF,福汽启腾,中集华骏,东风股份,福迪汽车,倍耐力
13,长安轻型车,长沙中联(中联牌),东风股份,福田祥菱,斗山,广汽吉奥,中集瑞江,东风福瑞卡(全新),广汽吉奥,北汽福田
14,长城汽车,滁州永强(永强牌),东风凯普特,福特汽车,福田欧曼,华晨鑫源金杯,中集(中集牌),东风电动轻卡,黄海汽车,北内柴油机
15,昌河汽车,长春双龙(龙帝牌),东风多利卡,福建奔驰,福田瑞沃,哈飞,郓城华威,东风柳汽,海格汽车,暴享
16,川交汽车,驰田汽车,东风福瑞卡(全新),华晨鑫源金杯,飞碟奥驰,海马汽车,,大运轻卡,恒天汽车,宝石
17,长征汽车,滁州长久(恒信致远牌),东风力拓,黄海汽车,抚挖重工,开瑞汽车,,东风华神,绵阳金杯,波波娃
18,长丰集团,东风商用车,东风电动轻卡,华晨雷诺,广汽日野,力帆,,大运重卡,江铃汽车,朝柴
19,长安重汽,东风柳汽,东风途逸,海格汽车,湖北大运,上汽五菱,,大众,江西五十铃,采埃孚
20,长江汽车,东风多利卡,东风天然气车,沈阳金杯,华菱,时空电动,,达夫/DAF,江淮皮卡,常柴
21,成功汽车,东风途逸,东风商用车,华晨鑫源金杯,湖北程力(程力威牌),一汽吉林,,东风瑞泰特,江淮安驰,成山
22,成都雅骏,东风凯普特,东风柳汽,华晨雷诺,航天万山,郑州日产,,东风捍蓝,凯马,长城动力
23,东风股份,大运轻卡,大运轻卡,江淮星锐,湖北楚胜(楚胜牌),,,德力汽车,开瑞汽车,长城机油
24,东风凯普特,东风华神,东风华神,一汽解放,恒天新楚风,,,福田时代,卡威,朝阳浪马
25,东风多利卡,大运重卡,大运重卡,江铃汽车,湖北大力(大力牌),,,福田欧马可,绵阳金杯,昌河铃木
26,东风福瑞卡(全新),东风福瑞卡(全新),东风小康,江淮瑞风,湖北合力(神狐牌),,,福田奥铃,美国通用,成发汽发
27,东风力拓,东风股份,东风新疆(原专底/创普),九龙汽车,航天晨光(三力牌),,,福田商务车,明君汽车,苍泰
28,东风电动轻卡,东风新疆(原专底/创普),大众,凯马,湖北江山,,,福田伽途,南骏汽车,成功淮海
29,东风途逸,东风南充,达夫/DAF,陆地方舟,湖北航天双龙(龙帝牌),,,福田祥菱,庆铃,绰丰柳机
30,东风天然气车,东风随专,东沃,牡丹汽车,江淮格尔发,,,飞碟奥驰,骐铃汽车,车娱宝
31,东风商用车,德沃重工(鸿天牛牌),东风南充,南京依维柯,卡特彼勒/Caterpillar,,,飞碟缔途,上汽大通,东风股份
32,东风柳汽,福田时代,东风捍蓝,南京金龙,联合卡车,,,福田智蓝,时骏,东风
33,大运轻卡,福田欧曼,福田欧曼,南汽(畅达牌),雷萨重机,,,华晨鑫源金杯,特斯拉,东风康明斯
34,东风华神,福田奥铃,福田时代,庆铃,柳工,,,华菱,天汽美亚,大柴
35,大运重卡,福田欧马可,福田欧马可,上汽五菱,利勃海尔,,,华晨雷诺,五十铃,东风德纳
36,东风小康,福田瑞沃,福田奥铃,四川现代,南骏汽车,,,恒天新楚风,雪佛兰,东安
